GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ConversorDivisa_RubenGonzalezRodriguez,es.iespuertolacruz.rubengonzalezrodriguez.modelo,DivisaModelo,116,0,8,0,34,0,12,0,8,0
ConversorDivisa_RubenGonzalezRodriguez,es.iespuertolacruz.rubengonzalezrodriguez.api,Divisa,5,56,4,4,2,18,4,8,0,8
ConversorDivisa_RubenGonzalezRodriguez,es.iespuertolacruz.rubengonzalezrodriguez.vista,App,66,0,7,0,27,0,7,0,2,0
ConversorDivisa_RubenGonzalezRodriguez,es.iespuertolacruz.rubengonzalezrodriguez.exception,DivisaException,9,0,0,0,4,0,2,0,2,0
ConversorDivisa_RubenGonzalezRodriguez,es.iespuertolacruz.rubengonzalezrodriguez.controller,DivisaController,128,0,16,0,38,0,17,0,9,0
