GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-app,es.iespuertodelacruz.rubengonzalezrodriguez.concesionario,Gestion,21,101,6,10,8,34,9,9,3,7
my-app,es.iespuertolacruz.rubengonzalezrodriguez.elementos,Persona,28,18,0,0,13,7,8,2,8,2
my-app,es.iespuertolacruz.rubengonzalezrodriguez.elementos,Vehiculo,21,15,0,0,10,6,6,2,6,2
my-app,es.iespuertolacruz.rubengonzalezrodriguez.elementos,Coche,0,6,0,0,0,2,0,1,0,1
my-app,es.iespuertolacruz.rubengonzalezrodriguez.elementos,Cliente,0,7,0,0,0,2,0,1,0,1
my-app,es.iespuertolacruz.rubengonzalezrodriguez.elementos,Direccion,46,0,0,0,20,0,10,0,10,0
