GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CensoPoblacion,es.iespuertolacruz.rubengonzalezrodriguez.modelo,DdBbSqLite,9,9,0,0,2,2,1,1,1,1
CensoPoblacion,es.iespuertolacruz.rubengonzalezrodriguez.modelo,DdBb,59,206,5,13,15,65,5,12,1,7
CensoPoblacion,es.iespuertolacruz.rubengonzalezrodriguez.modelo,PersonaModelo,0,61,0,0,0,16,0,5,0,5
CensoPoblacion,es.iespuertolacruz.rubengonzalezrodriguez.excepciones,PersistenciaException,9,0,0,0,4,0,2,0,2,0
CensoPoblacion,es.iespuertolacruz.rubengonzalezrodriguez.excepciones,CensoException,0,4,0,0,0,2,0,1,0,1
CensoPoblacion,es.iespuertolacruz.rubengonzalezrodriguez.api,Persona,5,162,7,9,2,46,7,16,0,15
CensoPoblacion,es.iespuertolacruz.rubengonzalezrodriguez.vista,AppCensoPoblacion,159,0,8,0,59,0,9,0,3,0
CensoPoblacion,es.iespuertolacruz.rubengonzalezrodriguez.controller,PersonaController,0,154,4,26,0,46,4,19,0,8
